노트,향/재료,색상/이미지,계절,온도/습도,날씨,시간대,장소/상황,감정/분위기
구르망,"달콤함, 디저트, 초콜릿, 밀크초콜릿, 다크초콜릿, 크림, 버터, 바닐라, 크렘브륄레, 퐁당쇼콜라, 케이크, 머랭, 캐러멜, 토피, 비스킷, 빵집, 베이킹, 설탕, 마카롱, 휘핑크림, 아이스크림, 브라우니, 쿠키, 타르트","크림색, 베이지, 골든브라운, 초콜릿브라운, 따뜻한 노을빛, 오븐 속 불빛, 달콤한 디저트 테이블, 크리스마스 장식","가을, 겨울, 늦가을, 연말","따뜻함, 포근함, 촉촉함, 건조함, 은은한 열기","맑음, 흐림, 눈, 실내","오후, 저녁, 밤","카페, 디저트샵, 홈파티, 겨울 축제, 가족모임, 소파 위","안락함, 로맨틱함, 부드러움, 향긋함, 편안함, 달달함, 행복감, 추억, 포만감, 유혹적"
그린,"풀잎, 신선한 허브, 민트, 녹차, 이끼, 나뭇잎, 바질, 로즈마리, 세이지, 들꽃, 풀내음, 새싹","초록색, 연두색, 청록색, 봄의 들판, 숲속 햇살, 나무 그림자, 아침이슬","봄, 여름, 초여름, 늦봄","서늘함, 촉촉함, 청량함, 상쾌함","맑음, 산들바람, 비온뒤","아침, 낮, 이른오후","정원, 산책로, 숲길, 캠핑장, 초원, 시골집 앞마당","싱그러움, 청량함, 건강함, 힐링, 안정감, 자유로움, 맑음, 깨끗함"
너티,"아몬드, 헤이즐넛, 피스타치오, 호두, 캐슈넛, 토피, 땅콩버터, 마카다미아, 볶은견과류, 구운아몬드, 아몬드우유","갈색, 크림색, 골드브라운, 토스트 컬러, 나무 식탁, 구운 견과 바구니","가을, 겨울, 늦가을","따뜻함, 고소함, 건조함, 포근함","맑음, 실내","아침, 오전, 오후","베이커리, 주방, 티타임, 홈카페, 오븐 앞","고소함, 담백함, 든든함, 안정감, 부드러움, 편안함, 가정적"
라벤더,"라벤더꽃, 허브, 세이지, 타임, 로즈마리, 라일락, 허브차, 프로방스 허브","보라색, 연보라, 라일락색, 건조한 꽃다발, 허브정원","봄, 여름, 초여름","서늘함, 건조함, 은은함, 차분함","맑음, 바람, 흐림","오후, 저녁, 늦은밤","정원, 침실, 스파, 목욕탕, 요가룸, 명상 공간","차분함, 평온함, 은은함, 편안함, 힐링, 내추럴, 부드러움, 로맨틱함"
럼,"럼주, 설탕, 바닐라, 시나몬, 넛맥, 오크통 숙성 럼, 캐러멜, 열대과일 칵테일","골든브라운, 호박색, 항해선, 오크통, 바 카운터","가을, 겨울, 늦가을","따뜻함, 묵직함, 건조함, 은은한 달콤함","맑음, 실내, 흐림","저녁, 밤","바, 라운지, 외항선, 파티, 항구","중후함, 달콤쌉싸름, 이국적, 관능적, 모험적, 편안한 취기"
레더,"가죽, 담배잎, 사향, 나무향, 왁스, 새 가죽백","짙은 갈색, 블랙, 빈티지 자동차 시트, 레더 자켓","가을, 겨울","서늘함, 건조함, 묵직함, 보온감","맑음, 흐림","저녁, 밤","서재, 고급 부티크, 자동차 내부, 남성 드레스룸","고급스러움, 강인함, 중후함, 신사적, 클래식함, 대담함"
레진,"송진, 발삼, 인센스, 미르, 올리바넘, 소나무 수액, 전통 향료","호박색, 금빛, 나무결, 촛불 흔들림","가을, 겨울","따뜻함, 건조함, 점성있는, 은은한 열기","맑음, 실내, 흐림","저녁, 밤","사원, 명상실, 아틀리에, 미술관","신비로움, 고요함, 무게감, 장엄함, 역사적, 영적인"
로즈,"장미, 로즈워터, 로즈오일, 다마스크 로즈, 화이트로즈, 건조장미잎","핑크색, 레드, 로즈가든, 장미 꽃다발, 로맨틱 테이블","봄, 여름","따뜻함, 촉촉함, 상쾌함","맑음, 흐림","아침, 오후","결혼식, 데이트, 발코니, 꽃시장, 카페","우아함, 로맨틱함, 사랑스러움, 관능적, 설렘, 화사함"
마린,"바닷물, 해조류, 소금, 바람, 바다거품, 조개껍질, 모래향","파란색, 청록색, 수평선, 파도치는 해변, 하얀 파도","여름, 초여름","시원함, 촉촉함, 짭짤함, 싱그러움","맑음, 바람, 흐림","아침, 낮","해변, 항구, 요트, 스노클링 장소","자유로움, 상쾌함, 개방감, 청량함, 경쾌함"
머스크,"화이트머스크, 파우더, 클린코튼, 알데하이드, 베이비파우더, 라이스파우더, 솜","하얀색, 크림색, 파스텔, 부드러운 패브릭, 화이트 린넨 시트","가을, 겨울, 봄","따뜻함, 포근함, 부드러움, 실내온기","맑음, 실내, 흐림","오전, 오후, 저녁","드레스룸, 호텔, 침실, 클린룸","부드러움, 로맨틱함, 청결함, 안락함, 따뜻함, 소프트함"
