primary,descriptor2,descriptor3,노트,색상/이미지,계절,온도/습도,날씨,시간대,장소/상황,감정/분위기,normalized_tags,계열,예시_향수,hex_palette_from_colors
Powdery,Soft,Mimosa,Powdery,파스텔,사계절/가을,포근/부드러움,잔잔/실내,종일/저녁,오피스/홈,부드러움/안정,"powdery, soft, mimosa",,,
Floral,Rose,Citrus,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, citrus",,,
Floral,Rose,Tea,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, tea",,,
Fruity,Sweet,Berry,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, berry",,,
Green,Hyacinth,Almond,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, hyacinth, almond",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Pineapple,Pear,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, pineapple, pear",,,
Musk like,Powdery,Balsamic,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, powdery, balsamic",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Green,Sulfurous,Cabbage,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, sulfurous, cabbage",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Herbal,Fruity,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, herbal, fruity",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Orange,Waxy,Fruity,오렌지/레드 (+오렌지),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, orange, waxy",,,
Green,Violet,Cucumber,Green,"leafy green, 그린 (+보라, 라이트그린)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, violet, cucumber",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Green,Citrus,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, citrus",,,
Herbal,Floral,Citrus,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, floral, citrus",Green/Herbal,,
Minty,Cooling,Earthy,Minty,"허브 초록, 라벤더색, 민트","봄, 여름, 여름",차가운,선선/그늘,"낮, 저녁","herb 정원, 스파, 스포츠/아웃도어","깨끗함, 집중됨, relaxing, 쿨/리프레시","minty, cooling, earthy",Aromatic/Herbal,,"#4CAF50, #B57EDC"
Spicy,Powdery,Floral,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, powdery, floral",,,
Herbal,Spicy,Cumin,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, spicy, cumin",Green/Herbal,,
Fruity,Green,Oily,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, oily",,,
Smoky,Leathery,Warm,Smoky,차콜,가을/겨울,따뜻한/건조,모닥불/안개,밤,캠프/바,무드/시크,"smoky, leathery, warm",,,
Powdery,Almond,Anisic,Powdery,파스텔,사계절/가을,포근/부드러움,잔잔/실내,종일/저녁,오피스/홈,부드러움/안정,"powdery, almond, anisic",,,
Floral,Waxy,Violet,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, waxy, violet",,,
Floral,Oily,Violet,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, oily, violet",,,
Green,Aldehydic,Oily,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, aldehydic, oily",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Herbal,Pine,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, green",Green/Herbal,,
Fruity,Sweet,Almond,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, almond",,,
Floral,Jasmin,Fruity,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, jasmin, fruity",,,
Sulfurous,Onion,Savoury,Sulfurous,옐로우/그레이,특정용도,자극/특수,특수/실험,특정,테이스팅랩,실험/독특,"sulfurous, onion, savoury",,,
Balsamic,Sweet,Cinnamon,Balsamic,"호박색, 갈색, 황갈색, 앰버","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, sweet, cinnamon",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Fruity,Floral,Jasmin,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, floral, jasmin",,,
